Path,AOM,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,Edge_Value,Synonym,Description,Notes,Example Units,Ontology,Agrovoc,Group,Scientific Name,NCBI,Sex,ERA.Field,ERA_Code,C or E,WFO,Feedipedia,CPC_Code_Product,CPC_Code_Component,CPC_Code_Product_Match,CPC_Code_Component_Match,Ani_Diet_Spp_Syn,Is_Ani_Diet_Ingredient,ilri_code,Column1,Column2,Column3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System,AOM_000846,Farming System,,,,,,,,,,Farming System,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system,AOM_000847,Farming System,livestock system,,,,,,,,,livestock system,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic/production orientation/reproducers/wild caught reproducers,AOM_000864,Farming System,livestock system,aquatic,production orientation,reproducers,wild caught reproducers,,,,,wild caught reproducers,,system of production dedicated to the production of mature animal using immature or submature animals coming from the natural environment.This system may be composed of one or several rearing stage unit,,,http://opendata.inra.fr/EOL/EOL_0001581,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system,AOM_000849,Farming System,livestock system,aquatic system,,,,,,,,aquatic system,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/living environment,AOM_000885,Farming System,livestock system,aquatic system,living environment,,,,,,,living environment,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/living environment/closed water,AOM_000886,Farming System,livestock system,aquatic system,living environment,closed water,,,,,,closed water,,an aquaculture system where water is supplied only for filling the structure and to replace evaporation and accumulating salts,,,http://opendata.inra.fr/EOL/EOL_0001570,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/living environment/closed water/pond,AOM_000888,Farming System,livestock system,aquatic system,living environment,closed water,pond,,,,,pond,pond aquaculture,an aquaculture system where animals are reared in a pond,,,http://opendata.inra.fr/EOL/EOL_0001521,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/living environment/closed water/tank,AOM_000887,Farming System,livestock system,aquatic system,living environment,closed water,tank,,,,,tank,mesocosm,"artificial culture systems for fish larvae with a limited volume of water where many species grow such as phytoplankton, zooplankton and predators (fish larvae)",,,http://opendata.inra.fr/EOL/EOL_0001528,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/living environment/open water,AOM_000889,Farming System,livestock system,aquatic system,living environment,open water,,,,,,open water,,aquaculture system based on existing water resources without management of water use,,,http://opendata.inra.fr/EOL/EOL_0001500,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/living environment/open water/cage,AOM_000890,Farming System,livestock system,aquatic system,living environment,open water,cage,,,,,cage,netcage aquaculture system;pen aquaculture system;cage aquaculture,"raising fish in a submerged or floating netcage in water (lake, sea, ...)",,,http://opendata.inra.fr/EOL/EOL_0001509,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
